System Uptime[ms] 53114,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 13.96,Airdata AoA[deg] -1.93,Airdata AoS[deg] -11.73,Airdata VCAS[m/s] 2.08,Airdata VTAS[m/s] 2.09,BMP280_0 P[Pa] 100202.67, BMP280_0 Tpackage[C] 22.26, HTU21DF_0 RH[%] 79.01, HTU21DF_0 Tpackage[C] 20.89, D6F-PH0025AD1_0 q[Pa] 2.45, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.37, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 3.08, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382966995, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 47, ;
System Uptime[ms] 83668,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.60,Airdata AoA[deg] -3.77,Airdata AoS[deg] -17.50,Airdata VCAS[m/s] 2.48,Airdata VTAS[m/s] 2.50,BMP280_0 P[Pa] 100204.95, BMP280_0 Tpackage[C] 22.90, HTU21DF_0 RH[%] 65.46, HTU21DF_0 Tpackage[C] 21.76, D6F-PH0025AD1_0 q[Pa] 3.93, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 2.05, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 4.21, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382955074, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 18, ;
System Uptime[ms] 84125,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.61,Airdata AoA[deg] 18.11,Airdata AoS[deg] -14.60,Airdata VCAS[m/s] 2.72,Airdata VTAS[m/s] 2.74,BMP280_0 P[Pa] 100208.02, BMP280_0 Tpackage[C] 22.91, HTU21DF_0 RH[%] 65.52, HTU21DF_0 Tpackage[C] 21.78, D6F-PH0025AD1_0 q[Pa] 4.29, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 2.78, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 6.35, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382955074, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 18, ;
System Uptime[ms] 84582,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.62,Airdata AoA[deg] -16.72,Airdata AoS[deg] -24.43,Airdata VCAS[m/s] 2.79,Airdata VTAS[m/s] 2.81,BMP280_0 P[Pa] 100205.52, BMP280_0 Tpackage[C] 22.92, HTU21DF_0 RH[%] 65.53, HTU21DF_0 Tpackage[C] 21.79, D6F-PH0025AD1_0 q[Pa] 3.53, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.89, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 4.51, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382956266, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 19, ;
System Uptime[ms] 85039,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.92,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.63,Airdata AoA[deg] 15.77,Airdata AoS[deg] -10.59,Airdata VCAS[m/s] 2.65,Airdata VTAS[m/s] 2.67,BMP280_0 P[Pa] 100204.08, BMP280_0 Tpackage[C] 22.93, HTU21DF_0 RH[%] 65.43, HTU21DF_0 Tpackage[C] 21.79, D6F-PH0025AD1_0 q[Pa] 3.93, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 2.98, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 5.95, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382956266, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 19, ;
System Uptime[ms] 85496,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.64,Airdata AoA[deg] -4.59,Airdata AoS[deg] -19.55,Airdata VCAS[m/s] 2.78,Airdata VTAS[m/s] 2.79,BMP280_0 P[Pa] 100205.75, BMP280_0 Tpackage[C] 22.94, HTU21DF_0 RH[%] 65.42, HTU21DF_0 Tpackage[C] 21.81, D6F-PH0025AD1_0 q[Pa] 4.09, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 2.26, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 5.29, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382959843, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 20, ;
System Uptime[ms] 85978,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.64,Airdata AoA[deg] 0.14,Airdata AoS[deg] -11.46,Airdata VCAS[m/s] 2.61,Airdata VTAS[m/s] 2.63,BMP280_0 P[Pa] 100205.84, BMP280_0 Tpackage[C] 22.94, HTU21DF_0 RH[%] 65.38, HTU21DF_0 Tpackage[C] 21.83, D6F-PH0025AD1_0 q[Pa] 3.78, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 2.78, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 4.68, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382959843, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 20, ;
System Uptime[ms] 86435,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.65,Airdata AoA[deg] -0.90,Airdata AoS[deg] -14.44,Airdata VCAS[m/s] 2.55,Airdata VTAS[m/s] 2.57,BMP280_0 P[Pa] 100207.50, BMP280_0 Tpackage[C] 22.95, HTU21DF_0 RH[%] 65.31, HTU21DF_0 Tpackage[C] 21.84, D6F-PH0025AD1_0 q[Pa] 3.41, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 2.31, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 4.57, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 21, ;
System Uptime[ms] 86892,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.66,Airdata AoA[deg] -0.25,Airdata AoS[deg] -12.75,Airdata VCAS[m/s] 2.56,Airdata VTAS[m/s] 2.58,BMP280_0 P[Pa] 100203.55, BMP280_0 Tpackage[C] 22.96, HTU21DF_0 RH[%] 65.16, HTU21DF_0 Tpackage[C] 21.87, D6F-PH0025AD1_0 q[Pa] 3.93, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 2.47, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 4.57, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 21, ;
System Uptime[ms] 87349,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.67,Airdata AoA[deg] -1.75,Airdata AoS[deg] -11.50,Airdata VCAS[m/s] 2.48,Airdata VTAS[m/s] 2.50,BMP280_0 P[Pa] 100206.56, BMP280_0 Tpackage[C] 22.97, HTU21DF_0 RH[%] 65.04, HTU21DF_0 Tpackage[C] 21.87, D6F-PH0025AD1_0 q[Pa] 3.42, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 2.36, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 4.16, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382963419, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 22, ;
System Uptime[ms] 87806,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.67,Airdata AoA[deg] 2.84,Airdata AoS[deg] -2.56,Airdata VCAS[m/s] 2.40,Airdata VTAS[m/s] 2.42,BMP280_0 P[Pa] 100207.90, BMP280_0 Tpackage[C] 22.97, HTU21DF_0 RH[%] 64.93, HTU21DF_0 Tpackage[C] 21.88, D6F-PH0025AD1_0 q[Pa] 3.32, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 3.14, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 3.95, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382963419, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 22, ;
System Uptime[ms] 88288,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.68,Airdata AoA[deg] 2.18,Airdata AoS[deg] -4.26,Airdata VCAS[m/s] 2.41,Airdata VTAS[m/s] 2.42,BMP280_0 P[Pa] 100204.95, BMP280_0 Tpackage[C] 22.98, HTU21DF_0 RH[%] 64.88, HTU21DF_0 Tpackage[C] 21.89, D6F-PH0025AD1_0 q[Pa] 3.37, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 2.83, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 4.05, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382963419, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 23, ;
System Uptime[ms] 88745,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.70,Airdata AoA[deg] -17.29,Airdata AoS[deg] -10.18,Airdata VCAS[m/s] 2.38,Airdata VTAS[m/s] 2.40,BMP280_0 P[Pa] 100209.35, BMP280_0 Tpackage[C] 23.00, HTU21DF_0 RH[%] 64.91, HTU21DF_0 Tpackage[C] 21.91, D6F-PH0025AD1_0 q[Pa] 2.91, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 2.05, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.26, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382963419, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 23, ;
System Uptime[ms] 89202,System VBATTcell0[V] 3.98,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.71,Airdata AoA[deg] 2.57,Airdata AoS[deg] -10.42,Airdata VCAS[m/s] 2.13,Airdata VTAS[m/s] 2.15,BMP280_0 P[Pa] 100208.16, BMP280_0 Tpackage[C] 23.01, HTU21DF_0 RH[%] 64.89, HTU21DF_0 Tpackage[C] 21.93, D6F-PH0025AD1_0 q[Pa] 2.24, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.79, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 3.39, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 24, ;
System Uptime[ms] 89659,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.72,Airdata AoA[deg] -3.37,Airdata AoS[deg] -6.53,Airdata VCAS[m/s] 2.02,Airdata VTAS[m/s] 2.03,BMP280_0 P[Pa] 100207.83, BMP280_0 Tpackage[C] 23.02, HTU21DF_0 RH[%] 64.83, HTU21DF_0 Tpackage[C] 21.93, D6F-PH0025AD1_0 q[Pa] 2.04, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.84, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.46, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 24, ;
System Uptime[ms] 90116,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.72,Airdata AoA[deg] -0.80,Airdata AoS[deg] -9.65,Airdata VCAS[m/s] 1.96,Airdata VTAS[m/s] 1.97,BMP280_0 P[Pa] 100210.45, BMP280_0 Tpackage[C] 23.02, HTU21DF_0 RH[%] 64.78, HTU21DF_0 Tpackage[C] 21.95, D6F-PH0025AD1_0 q[Pa] 2.04, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 1.37, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.72, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 24, ;
System Uptime[ms] 90609,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.73,Airdata AoA[deg] 2.45,Airdata AoS[deg] -2.86,Airdata VCAS[m/s] 1.99,Airdata VTAS[m/s] 2.00,BMP280_0 P[Pa] 100211.08, BMP280_0 Tpackage[C] 23.03, HTU21DF_0 RH[%] 64.71, HTU21DF_0 Tpackage[C] 21.95, D6F-PH0025AD1_0 q[Pa] 2.81, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 2.10, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.72, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382963419, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 25, ;
System Uptime[ms] 91066,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.92,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.74,Airdata AoA[deg] -0.13,Airdata AoS[deg] -6.30,Airdata VCAS[m/s] 1.99,Airdata VTAS[m/s] 2.00,BMP280_0 P[Pa] 100209.42, BMP280_0 Tpackage[C] 23.04, HTU21DF_0 RH[%] 64.69, HTU21DF_0 Tpackage[C] 21.97, D6F-PH0025AD1_0 q[Pa] 2.29, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 1.63, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.72, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382963419, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 25, ;
System Uptime[ms] 91523,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.75,Airdata AoA[deg] 5.94,Airdata AoS[deg] -4.91,Airdata VCAS[m/s] 1.96,Airdata VTAS[m/s] 1.97,BMP280_0 P[Pa] 100209.56, BMP280_0 Tpackage[C] 23.05, HTU21DF_0 RH[%] 64.63, HTU21DF_0 Tpackage[C] 21.99, D6F-PH0025AD1_0 q[Pa] 2.04, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 1.79, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 3.08, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382966995, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 26, ;
System Uptime[ms] 91980,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.75,Airdata AoA[deg] -7.19,Airdata AoS[deg] -12.06,Airdata VCAS[m/s] 1.98,Airdata VTAS[m/s] 1.99,BMP280_0 P[Pa] 100207.89, BMP280_0 Tpackage[C] 23.05, HTU21DF_0 RH[%] 64.63, HTU21DF_0 Tpackage[C] 22.01, D6F-PH0025AD1_0 q[Pa] 2.20, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 1.06, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.46, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382966995, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 26, ;
System Uptime[ms] 92437,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.77,Airdata AoA[deg] -8.29,Airdata AoS[deg] -17.89,Airdata VCAS[m/s] 1.93,Airdata VTAS[m/s] 1.94,BMP280_0 P[Pa] 100205.98, BMP280_0 Tpackage[C] 23.07, HTU21DF_0 RH[%] 64.87, HTU21DF_0 Tpackage[C] 22.01, D6F-PH0025AD1_0 q[Pa] 1.84, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 0.69, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.61, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 27, ;
System Uptime[ms] 92919,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.79,Airdata AoA[deg] 5.55,Airdata AoS[deg] -13.48,Airdata VCAS[m/s] 1.88,Airdata VTAS[m/s] 1.89,BMP280_0 P[Pa] 100212.23, BMP280_0 Tpackage[C] 23.09, HTU21DF_0 RH[%] 65.27, HTU21DF_0 Tpackage[C] 22.05, D6F-PH0025AD1_0 q[Pa] 2.04, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 1.06, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 3.03, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382962227, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 27, ;
System Uptime[ms] 93376,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.79,Airdata AoA[deg] 11.77,Airdata AoS[deg] -13.25,Airdata VCAS[m/s] 1.93,Airdata VTAS[m/s] 1.95,BMP280_0 P[Pa] 100207.95, BMP280_0 Tpackage[C] 23.09, HTU21DF_0 RH[%] 65.46, HTU21DF_0 Tpackage[C] 22.04, D6F-PH0025AD1_0 q[Pa] 1.99, D6F-PH0025AD1_0 Tpackage[C] 19.40, D6F-PH0025AD1_1 q[Pa] 1.21, D6F-PH0025AD1_1 Tpackage[C] 19.80, D6F-PH0025AD1_2 q[Pa] 3.44, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382958651, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 28, ;
